idx,brand_name,cos_name,cos_img_src,grade,grade_count,price,vol,ranking,description,category,category_2
1419,멕리듬,스팀 아이마스크 [로즈향],https://dn5hzapyfrpio.cloudfront.net/product/6b8/6b8df860-7151-11ee-9301-e3cb48bd0f6f.jpeg?w=456,4.67,9,7900,5ea,아이마스크 12위 멕리듬 5위,"포근한 스팀으로 기분을 풀어주는 갓 피어난 로즈향 아이마스크  - 지친 눈에 약 40도의 스팀으로 촉촉하게! - 기존 대비 2배 도톰해진 시트로 눈가 밀착력 UP - 기분 좋은 스팀이 20분정도 지속되며, 온찜질 효과를 주어 긴장감과 피로 해소",생활용품,릴렉싱
1420,메디테라피,스테이 쿨 힐링패치,https://dn5hzapyfrpio.cloudfront.net/product/0f2/0f2958c0-60d2-11ed-ada4-ab8fe73f76d9.jpeg?w=456,3.58,45,29900,8ea,레그/풋패치 6위 메디테라피 2위,"가벼운 다리의 힘, 힐링패치  - 원터치로 더 간편해진 힐링 타임 - 활력과 생기를 더해주는 간편한 힐링 아이템! - 국내유일 12시간 지속 더블 케어 시스템",생활용품,릴렉싱
1421,바른생각,눈편한생각 [새벽 산책향],https://dn5hzapyfrpio.cloudfront.net/product/c1b/c1b8fcd0-6e27-11ee-8cc2-ad3e1fb3e359.jpeg?w=456,4.11,9,6500,5ea,아이마스크 13위 바른생각 4위,"따뜻한 온열과 스팀으로 간편하게 하루의 피로를 풀어주는 힐링 아이 마스크  - 숲속이 떠오르는 새벽 산책향 - 건조한 눈을 촉촉하게 만들 스팀 효과 - 눈이 편안한 최적의 온도, 42도의 온열감",생활용품,릴렉싱
1422,슬로우랩,꿀잠안대 [라벤더향],https://dn5hzapyfrpio.cloudfront.net/product/d79/d79d1a90-716f-11ee-8b77-f9189467a0f7.png?w=456,4.67,6,5900,5ea,아이마스크 14위 슬로우랩 2위,피곤에 지친 눈을 위한 따뜻한 셀프 힐링 아이템  - 현대인의 눈 건강을 위해 피로를 풀어주고 촉촉하게 - 눈에 딱 맞게 특수 제작된 1회용 온열 안대,생활용품,릴렉싱
1423,덴티스테,후레쉬 브레스 스프레이,https://dn5hzapyfrpio.cloudfront.net/product/8d8/8d8e1360-48ae-11eb-8864-77fda3a11339.jpeg?w=456,4.65,1548,8900,15ml,가글 1위 덴티스테 1위,스프레이를 뿌리는 순간 즉각적인 입냄새 개선  - 99.9% 구강 항균 - 휴대하기 좋은 미니멀한 사이즈 - 150회 이상 사용 가능한 용량,생활용품,덴탈케어
1424,플랙커스,마이크로 민트 치실,,4.61,263,3700,36ea,치실 1위 플랙커스 1위,"쿨 민트향으로 코팅되어 있어 치석, 치태 제거를 더욱 상쾌하게!  - 쿨 민트향이 스켈링 한 듯 상쾌하게 - 끊어지지 않는 특수 섬유 사용 - 손잡이 끝 이쑤시개 내장",생활용품,덴탈케어
1425,루치펠로,그린웨이브 가글,https://dn5hzapyfrpio.cloudfront.net/product/6d3/6d370c30-ea54-11ed-a547-a1e672532f83.png?w=456,4.63,109,11900,500ml,가글 2위 루치펠로 1위,에탄올 무첨가로 입안의 건조함 없이 산뜻한 마무리감을 선사합니다. 단 1회 사용만으로도 입 속 구취 유발 성분을 효과적으로 제거  - 한국 비건인증원 인증 클린&비건 포뮬라 사용 - COSMOS인증 식물유래성분 함유  - 플라스틱을 줄인 친환경 패키지 사용,생활용품,덴탈케어
1426,닥터텅스,스마트 치실,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200424/1587713154578.png?w=456,4.63,167,6000,27m,치실 2위 닥터텅스 1위,뛰어난 성능의 스마트 치실  - 천연성분코팅 & 카다몬향 - 효과적인 플라그 제거 - 투명한 케이스로 치실 잔여량을 쉽게 확인 가능,생활용품,덴탈케어
1427,가그린,제로,https://dn5hzapyfrpio.cloudfront.net/product/e60/e6086e90-8844-11ee-bd72-8381431380eb.jpeg?w=456,4.5,783,8700,750ml,가글 3위 가그린 1위,민감한 잇몸에도 자극없이 부드럽게 세균을 제거하는 가그린 제로  - 저자극 부드러운 구강정화 - 충치원인균 99.9% 살균,생활용품,덴탈케어
1428,닥터텅스,구역질없는 혀클리너,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200424/1587712892742.png?w=456,4.6,133,10000,1ea,칫솔 1위 닥터텅스 2위,사용감이 남다른 닥터텅스 혀클리너  - 구역질이 없는 U자형 설계 - 반영구적으로 사용 가능한 스테인레스 재질 - 끓는 물로 살균할 수 있어 위생적,생활용품,덴탈케어
1429,티타드,프레시 브레스 플러스 치약,https://dn5hzapyfrpio.cloudfront.net/product/065/06546c60-ae8a-11ee-b204-9d3e0c4f7298.jpeg?w=456,4.52,246,11000,100g,치약 1위 티타드 1위,"* 본 제품은 프레시 브레스 치약에서 리뉴얼된 제품입니다.  입냄새의 근본 원인인 구취 유발 가스를 없애주는 차세대 구취제거 치약  - 단 1회 사용만으로도 구취 97% 즉각 제거 - 화학 계면활성제 대신 식물성 계면활성제 사용 - 파라벤, 사카린 등 32가지 걱정성분 제외",생활용품,덴탈케어
1430,켄트,컴팩트 초극세모 칫솔,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200427/1587976725470.jpg?w=456,4.54,254,4500,1ea,칫솔 2위 켄트 1위,27mm 작은 헤드로 입안 구석 구석 어금니 깊은 곳까지 깨끗하게 닦아주는 초극세모 칫솔,생활용품,덴탈케어
1431,플랙커스,트윈라인 치실,,4.58,112,3700,35ea,치실 3위 플랙커스 2위,견고한 두 줄의 치실이 제거를 더욱 효과적으로!  - 끊어지지 않는 특수 섬유 사용 - 민트 성분 함유 - 손잡이 끝 이쑤시개 내장,생활용품,덴탈케어
1432,테라브레스,오랄린스 마일드 민트,https://dn5hzapyfrpio.cloudfront.net/product/fb4/fb495e70-d7fd-11ec-9dfd-77567489a778.png?w=456,4.46,783,12900,473ml,가글 4위 테라브레스 1위,"테라브레스의 가장 대표적인 가글, 오랄 린스  - 입냄새를 가리는 것이 아닌 입냄새 근본 원인균 제거 - 자극적이지 않고 순한 사용감",생활용품,덴탈케어
1433,테라브레스,오랄린스 아이시 민트,https://dn5hzapyfrpio.cloudfront.net/product/9a7/9a7fc920-4b77-11ec-93f5-f9ce702cde66.jpeg?w=456,4.5,363,11000,473ml,가글 5위 테라브레스 2위,"테라브레스의 가장 대표적인 가글, 오랄 린스  - 입냄새를 가리는 것이 아닌 입냄새 근본 원인균 제거 - 자극적이지 않고 순한 사용감 - 무알콜로 순하고 부드럽게",생활용품,덴탈케어
1434,오랄비,치실 왁스 민트,https://dn5hzapyfrpio.cloudfront.net/product/b90/b9021bb0-4b76-11ec-a0c1-b5c85aacf539.jpeg?w=456,4.46,400,2900,50m,치실 4위 오랄비 1위,"왁스가 함유된 치실로 치아 사이를 깔끔하게 세정  - 가장자리 마모, 부서짐 없이 치아 사이를 매끄럽게 - 젖어있는 상태에서도 편안한 그립과 통제",생활용품,덴탈케어
1435,리브러쉬,클로브 농축 가글액,https://dn5hzapyfrpio.cloudfront.net/product/7bb/7bb57840-8fac-11ec-933e-4dd7a75db277.jpeg?w=456,4.51,85,25900,50ml,가글 6위 리브러쉬 1위,매일매일 입 속을 리프레쉬 할 수 있는 국내 최초 클로브 농축가글  - 극강의 휴대성 - 최고의 갓성비 - 탁월한 입냄새 제거,생활용품,덴탈케어
1436,루치펠로,샤이니피루나 치약,https://dn5hzapyfrpio.cloudfront.net/product/c3c/c3cb1fe0-511b-11ee-913c-05d2891e9996.jpeg?w=456,4.44,98,9800,100g,치약 2위 루치펠로 2위,"브라이트닝 케어로 빛나는 치아 자신감  - 치아를 하얗게 유지하는 특별한 처방 - 치석, 충지, 치태 집중 케어 - 아이스 민트향",생활용품,덴탈케어
1437,오랄비,치실 왁스,https://dn5hzapyfrpio.cloudfront.net/product/078/07854a50-4b77-11ec-868e-6f79785347fd.jpeg?w=456,4.41,249,2900,50m,치실 5위 오랄비 2위,"왁스가 함유된 치실로 치아 사이를 깔끔하게 세정  - 가장자리 마모, 부서짐 없이 치아 사이를 매끄럽게 - 젖어있는 상태에서도 편안한 그립과 통제",생활용품,덴탈케어
1438,가그린,오리지널,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200424/1587710572184.png?w=456,4.37,333,8400,750ml,가글 7위 가그린 2위,"올바르고 효과적인 충치예방의 시작, 가그린으로 시원하고 상쾌하게!  - 투명하고 깨끗한 가그린 오리지널 - 충치, 치은염 예방 및 플라그 제거",생활용품,덴탈케어
